,Outside air temperature,CO2,Supply air temp,Zone temperature
3/1/14 4:02,26.6,558.6,12,28.2
3/1/14 4:07,26.6,557.1,12,28.2
3/1/14 4:12,26.6,556.5,12,28.2
3/1/14 4:17,26.7,560.1,12,28.2
3/1/14 4:22,26.7,559.1,12,28.2
3/1/14 4:27,26.7,557,12,28.2
3/1/14 4:32,26.8,557.3,12,28.2
3/1/14 4:37,26.8,556.8,12,28.2
3/1/14 4:42,26.8,556.9,12,28.3
3/1/14 4:47,26.8,557.4,12,28.2
3/1/14 4:52,26.8,557.6,12,28.3
3/1/14 4:57,26.8,558.3,12,28.3
3/1/14 5:02,26.8,557.9,12,28.3
3/1/14 5:07,26.8,557.2,12,28.3
3/1/14 5:12,26.8,555.3,12,28.3
3/1/14 5:17,26.8,555.6,12,28.3
3/1/14 5:22,26.9,557.1,12,28.3
3/1/14 5:27,26.8,556.8,12,28.3
3/1/14 5:32,26.8,555.8,12,28.3
3/1/14 5:37,26.9,555.9,12,28.3
3/1/14 5:42,26.9,557.8,12,28.3
3/1/14 5:47,26.8,560,12,28.3
3/1/14 5:52,26.9,559.2,12,28.3
3/1/14 5:57,27,558.2,12,28.3
3/1/14 6:02,27,555.9,12,28.3
3/1/14 6:07,27.1,556.8,12,28.3
3/1/14 6:12,27.1,558.3,12,28.3
3/1/14 6:17,27.1,559.6,12,28.3
3/1/14 6:22,27.2,557.6,12,28.3
3/1/14 6:27,27.2,558,12,28.3
3/1/14 6:32,27.3,558.6,12,28.3
3/1/14 6:37,27.4,560.3,12,28.3
3/1/14 6:42,27.4,563.9,12,28.3
3/1/14 6:47,27.6,566.2,12,28.2
3/1/14 6:52,27.7,566.6,12,28.1
3/1/14 6:57,27.9,567,12,28
3/1/14 7:02,28,569.6,12,27.9
3/1/14 7:07,28.1,572.5,12,27.8
3/1/14 7:12,28.1,572.9,12,27.8
3/1/14 7:17,28.2,572.7,12,27.7
3/1/14 7:22,28.4,575.5,12,27.6
3/1/14 7:27,28.5,575.7,12,27.5
3/1/14 7:32,28.6,576.3,12,27.4
3/1/14 7:37,28.7,576.8,12,27.1
3/1/14 7:42,28.8,578.9,12,26.9
3/1/14 7:47,28.7,584.1,12,26.8
3/1/14 7:52,28.7,587.6,12,26.7
3/1/14 7:57,28.6,593,12,26.6
3/1/14 8:02,28.7,596.4,12,26.4
3/1/14 8:07,29,598.4,12,26.2
3/1/14 8:12,29.2,603.3,12,26
3/1/14 8:17,29.4,606.5,12,25.8
3/1/14 8:22,29.5,612.1,12,25.6
3/1/14 8:27,29.6,616,12,25.5
3/1/14 8:32,29.5,621.7,12,25.3
3/1/14 8:37,29.3,627.7,12,25.2
3/1/14 8:42,29.2,631.9,12,25.1
3/1/14 8:47,29.2,635.7,12,25
3/1/14 8:52,29.3,639.5,12,24.9
3/1/14 8:57,29.6,642.6,12,24.8
3/1/14 9:02,29.8,653.5,12,24.7
3/1/14 9:07,29.9,653.5,12,24.7
3/1/14 9:12,30,653.1,12,24.6
3/1/14 9:17,30.1,654.8,12,24.6
3/1/14 9:22,30.2,658.4,12,24.6
3/1/14 9:27,30.4,659.7,12,24.5
3/1/14 9:32,30.6,661.2,12,24.5
3/1/14 9:37,30.6,662.1,12,24.5
3/1/14 9:42,30.5,662.3,12,24.5
3/1/14 9:47,30.4,664.8,12,24.5
3/1/14 9:52,30.4,667.6,12,24.6
3/1/14 9:57,30.5,669.4,12,24.6
3/1/14 10:02,30.7,670.2,12,24.6
3/1/14 10:07,30.9,671.4,12,24.6
3/1/14 10:12,31,674.7,12,24.6
3/1/14 10:17,31,674.5,12,24.6
3/1/14 10:22,31,672.5,12,24.7
3/1/14 10:27,31.1,670.8,12,24.6
3/1/14 10:32,31.1,671.4,12,24.6
3/1/14 10:37,31.2,671.6,12,24.6
3/1/14 10:42,31.3,674.6,12,24.6
3/1/14 10:47,31.3,677.4,12,24.6
3/1/14 10:52,31.1,681.9,12,24.6
3/1/14 10:57,31,681.4,12,24.6
3/1/14 11:02,31.1,683,12,24.6
3/1/14 11:07,31.3,684.4,12,24.6
3/1/14 11:12,31.5,687.7,12,24.6
3/1/14 11:17,31.5,688.4,12,24.6
3/1/14 11:22,31.3,687,12,24.6
3/1/14 11:27,31.4,687.6,12,24.7
3/1/14 11:32,31.7,690.9,12,24.7
3/1/14 11:37,31.7,689.3,12,24.7
3/1/14 11:42,31.8,688.1,12,24.7
3/1/14 11:47,31.9,690.9,12,24.7
3/1/14 11:52,31.9,692.1,12,24.6
3/1/14 11:57,32.1,693.2,12,24.6
3/1/14 12:02,32.3,694,12,24.6
3/1/14 12:07,32.4,693.8,12,24.6
3/1/14 12:12,32.6,690.1,12,24.7
3/1/14 12:17,32.8,689,12,24.7
3/1/14 12:22,32.5,688.4,12,24.6
3/1/14 12:27,32.2,684.6,12,24.6
3/1/14 12:32,32.2,682.3,12,24.6
3/1/14 12:37,32.3,678.1,12,24.6
3/1/14 12:42,32.4,677.5,12,24.6
3/1/14 12:47,32.4,674.8,12,24.6
3/1/14 12:52,32.5,670.6,12,24.6
3/1/14 12:57,32.3,666.9,12,24.7
3/1/14 13:02,32,667.3,12,24.7
3/1/14 13:07,31.7,668.9,12,24.6
3/1/14 13:12,31.5,671.1,12,24.6
3/1/14 13:17,31.5,669.1,12,24.6
3/1/14 13:22,31.8,668.6,12,24.6
3/1/14 13:27,31.8,667.5,12,24.6
3/1/14 13:32,31.7,667.6,12,24.6
3/1/14 13:37,31.5,669.3,12,24.6
3/1/14 13:42,31.2,671.3,12,24.6
3/1/14 13:47,31,674.7,12,24.6
3/1/14 13:52,31.1,681.6,12,24.6
3/1/14 13:57,31.1,682.6,12,24.6
3/1/14 14:02,30.9,682,12,24.6
3/1/14 14:07,30.9,682.4,12,24.6
3/1/14 14:12,30.8,681.8,12,24.6
3/1/14 14:17,30.5,688.9,12,24.7
3/1/14 14:22,30.4,690.4,12,24.7
3/1/14 14:27,30.5,688.9,12,24.6
3/1/14 14:32,30.6,689.7,12,24.6
3/1/14 14:37,30.5,693,12,24.6
3/1/14 14:42,30.3,695.2,12,24.7
3/1/14 14:47,30.3,693.2,12,24.6
3/1/14 14:52,30.3,692.1,12,24.6
3/1/14 14:57,30.4,694.6,12,24.6
3/1/14 15:02,30.4,693.2,12,24.6
3/1/14 15:07,30.3,692.9,12,24.6
3/1/14 15:12,30.4,693.9,12,24.6
3/1/14 15:17,30.2,695.6,12,24.6
3/1/14 15:22,30,696.2,12,24.6
3/1/14 15:27,30.1,691.9,12,24.6
3/1/14 15:32,30.1,690.1,12,24.6
3/1/14 15:37,30.2,688.7,12,24.6
3/1/14 15:42,30.3,688.5,12,24.6
3/1/14 15:47,30.3,687.5,12,24.6
3/1/14 15:52,30.2,689.2,12,24.6
3/1/14 15:57,30.2,690.1,12,24.6
3/1/14 16:02,30.3,690.1,12,24.6
3/1/14 16:07,30.3,688.7,12,24.6
3/1/14 16:12,30.2,689.5,12,24.6
3/1/14 16:17,30.2,688.7,12,24.6
3/1/14 16:22,30.2,689.5,12,24.6
3/1/14 16:27,30.2,686.2,12,24.6
3/1/14 16:32,30.3,682,12,24.6
3/1/14 16:37,30.5,677.1,12,24.6
3/1/14 16:42,30.6,673,12,24.5
3/1/14 16:47,30.6,669.1,12,24.6
3/1/14 16:52,30.5,666.5,12,24.6
3/1/14 16:57,30.3,667.3,12,24.6
6/1/14 4:02,27.7,581,12,31
6/1/14 4:07,27.7,580.8,12,31
6/1/14 4:12,27.7,580.8,12,31
6/1/14 4:17,27.6,579.4,12,31
6/1/14 4:22,27.6,580.9,12,31
6/1/14 4:27,27.7,581.1,12,31
6/1/14 4:32,27.7,580.8,12,31
6/1/14 4:37,27.7,580.5,12,30.9
6/1/14 4:42,27.7,580,12,30.9
6/1/14 4:47,27.7,579.8,12,30.9
6/1/14 4:52,27.7,580.5,12,30.9
6/1/14 4:57,27.7,580.8,12,30.9
6/1/14 5:02,27.7,580.8,12,30.9
6/1/14 5:07,27.6,580.8,12,30.9
6/1/14 5:12,27.6,581.2,12,30.9
6/1/14 5:17,27.6,581,12,30.9
6/1/14 5:22,27.6,582.2,12,30.9
6/1/14 5:27,27.6,581.8,12,30.9
6/1/14 5:32,27.5,581,12,30.9
