,k_a,k_o1,k_o2,m_so,k_c,c_pa,C_z,COP
2014-01-01,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-02,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-03,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-04,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-05,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-06,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-07,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-08,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-09,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-10,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-11,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-12,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-13,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-14,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-15,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-16,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-17,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-18,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-19,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-20,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-21,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-22,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-23,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-24,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-25,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-26,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-27,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-28,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-29,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-30,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-01-31,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-02-01,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-02-02,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-02-03,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-02-04,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-02-05,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-02-06,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-02-07,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
2014-02-08,1.079e-05,3.9e-07,9.5443e-06,1.4177e-05,1.903e-05,1.005,1.0,2.7
